NomSalle;Places;;
Avengers : L'ère d'Ultron;144;Alors que Tony Stark tente de relancer un programme de maintien de la paix jusque-là suspendu, les choses tournent mal et les super-héros vont devoir à nouveau unir leurs forces pour combattre le plus puissant de leurs adversaires; 4
Mad Max: Fury Road;120;Hanté par un lourd passé, Mad Max estime que le meilleur moyen de survivre est de rester seul. Cependant, il se retrouve embarqué par une bande;3
Goodnight Mommy;100;En plein été, dans une maison de campagne perdue au milieu des champs de maïs et des bois, des jumeaux de dix ans attendent le retour de leur mère;3
À la poursuite de demain;130;Casey, une adolescente brillante et optimiste et Frank, qui fut autrefois un jeune inventeur de génie, s’embarquent pour une périlleuse mission ;5
Un voisin trop parfait;91;Une mère, a une aventure avec un jeune homme. Quand il sympathise avec son fils, elle décide de mettre fin à leur relation, les problèmes commencent;4
Qui c'est les plus forts ?;103;Sam, au chômage et pom-pom girl à ses heures, se bat pour conserver la garde de sa jeune soeur et pour arrondir les fins de mois difficiles.;2
Mon Film;169;Ma synopsis;5
